% Specific	extinction	coeffs	taken from BORL Water measured by Matcher at 37Celcius
% specific absorption coefficient = specific extinction coefficient x ln(10)
% Specific Extinction is described using base 10 logarithm units and Specific Absorption is described using natural logarithm units.

wavelength,	Water,	HbO2,	HHb,	FatSoybean
783,0.000201625,754.72,1036.92,1036.92
784,0.000198375,761.1,1017.03,1017.03
785,0.000196209,767.92,997.23,997.23
786,0.000193502,774.09,981.94,981.94
787,0.000190433,780.6,966.57,966.57
788,0.000191516,787.2,951.28,951.28
789,0.000190072,793.89,938.25,938.25
790,0.000187004,800.32,926.18,926.18
791,0.000184838,806.79,914.06,914.06
792,0.000184477,813.17,903.16,903.16
793,0.000182671,819.47,893.69,893.69
794,0.000181408,826.2,884.18,884.18
795,0.000177437,832.8,874.97,874.97
796,0.000175812,838.97,867.37,867.37
797,0.00017491,845.57,859.77,859.77
798,0.000174007,852.17,852.17,852.17
799,0.000171661,858.6,845.88,845.88
800,0.000172563,865.07,839.66,839.66
801,0.000171661,871.37,833.58,833.58
802,0.000168953,877.8,828.29,828.29
803,0.000169495,884.27,823.51,823.51
804,0.000168773,890.69,818.78,818.78
805,0.000168231,897.08,814.39,814.39
806,0.000167509,903.55,810.91,810.91
807,0.000166606,909.98,807.31,807.31
808,0.00016769,916.19,803.79,803.79
809,0.000169314,922.48,801.19,801.19
810,0.000170036,928.87,798.49,798.49
811,0.000171841,935.17,795.89,795.89
812,0.000172924,941.38,793.89,793.89
813,0.00017491,947.54,791.98,791.98
814,0.000174007,953.67,790.2,790.2
815,0.000177617,960.05,788.59,788.59
816,0.000179603,966.35,787.2,787.2
817,0.000182491,972.56,785.9,785.9
818,0.000184296,978.64,784.68,784.68
819,0.000183935,984.55,783.99,783.99
820,0.000188989,990.84,783.21,783.21
821,0.000190614,997.05,782.51,782.51
822,0.000191336,1002.96,781.99,781.99
823,0.000197292,1008.82,781.51,781.51
824,0.000202708,1015.03,780.99,780.99
825,0.000206498,1020.85,780.69,780.69
826,0.000219856,1027.02,780.6,780.6
827,0.000227437,1033.06,780.38,780.38
828,0.000240614,1039.05,780.3,780.3
829,0.000249819,1044.65,780.21,780.21
830,0.000263357,1050.43,780.21,780.21
831,0.000272563,1056.12,780.21,780.21
832,0.000286282,1061.85,780.21,780.21
833,0.000295668,1067.71,780.21,780.21
834,0.000298917,1073.62,780.3,780.3
835,0.000306679,1079.44,780.3,780.3
836,0.000314079,1084.82,780.38,780.38
837,0.000314079,1090.43,780.51,780.51
838,0.000317329,1095.94,780.69,780.69
839,0.000320036,1101.5,780.99,780.99
840,0.000324007,1106.93,781.3,781.3
841,0.000327256,1112.53,781.51,781.51
842,0.000325812,1117.92,781.82,781.82
843,0.000327437,1123,782.12,782.12
844,0.000328881,1128.3,782.51,782.51
845,0.000331227,1133.6,783.12,783.12
846,0.000333574,1138.81,783.68,783.68
847,0.000335018,1143.89,784.29,784.29
848,0.000339892,1149.1,784.81,784.81
849,0.000342599,1154.4,785.42,785.42
850,0.000345307,1159.31,785.9,785.9
851,0.000344404,1164.21,786.9,786.9
852,0.000349458,1169.12,787.81,787.81
853,0.000348556,1173.9,788.81,788.81
854,0.000348375,1178.72,789.89,789.89
855,0.000349097,1183.89,790.98,790.98
856,0.00035361,1188.19,792.11,792.11
857,0.000353791,1193.09,793.28,793.28
858,0.000355415,1197.7,794.72,794.72
859,0.000355957,1202.3,796.11,796.11
860,0.000357581,1206.77,797.49,797.49
861,0.000361191,1211.07,799.1,799.1
862,0.000361372,1215.29,800.71,800.71
863,0.000362455,1219.67,802.32,802.32
864,0.000360289,1224.19,804.18,804.18
865,0.000367148,1228.27,806.09,806.09
866,0.000364801,1232.18,808,808
867,0.000369134,1236.39,810,810
868,0.000368953,1240.39,812,812
869,0.000376354,1244.6,814.09,814.09
870,0.000380505,1248.68,816.39,816.39
871,0.000381949,1252.59,818.69,818.69
872,0.000381047,1256.2,821.08,821.08
873,0.000385921,1259.8,823.51,823.51
874,0.000389892,1263.8,825.9,825.9
875,0.000392058,1267.49,828.29,828.29
876,0.000392419,1270.66,830.81,830.81
877,0.000400181,1274.26,833.37,833.37
878,0.00040361,1277.78,835.89,835.89
879,0.000411191,1281.08,838.49,838.49
880,0.000411913,1284.25,840.97,840.97
881,0.000413357,1287.47,843.57,843.57
882,0.00042509,1290.38,846.09,846.09
883,0.000427076,1293.46,848.7,848.7
884,0.00043556,1296.76,851.39,851.39
885,0.000437004,1299.67,854,854
